spec,actualPrice,s26Price,wpPrice,deltaAbs,deltaPct,expert,tier,band,reason,flags
"20.13ct heart_standard D/VVS1 传统切 CVD",15827.82,11907.80806589453,128004.03293197972,116096.22,974.96,"S28","sparse","floor","s33a_weak_anchor_high_carat_n1","highCarat;sparse;weakAnchor;s28Fallback;largeDelta"
"40.11ct oval_modified D/VVS1  CVD",48914.29,23492.273796079942,38097.89896689527,14605.63,62.17,"S28","medium","floor","s33a_weak_anchor_high_carat_n9","highCarat;weakAnchor;s28Fallback;largeDelta"
"30.05ct emerald_standard D/VVS1  CVD",21831.35,7381.635644235883,21126.352,13744.72,186.2,"S30","dense","high","null","highCarat;largeDelta"
"30.88ct pear_ice_flower D/VVS2 冰花切 CVD",21224.82,13614.95867067106,24527.137056257387,10912.18,80.15,"S28","sparse","floor","s33a_weak_anchor_high_carat_n3","highCarat;sparse;weakAnchor;s28Fallback;largeDelta"
"33.2ct pear_ice_flower D/VVS1 冰花切 CVD",30321.35,24435.836236988238,35291.181728934505,10855.35,44.42,"S33A","medium","medium","null","highCarat;largeDelta"
"32.73ct pear_ice_flower D/VVS1 冰花切 CVD",30321.35,24089.90723001882,34446.31688370454,10356.41,42.99,"S33A","medium","medium","null","highCarat;largeDelta"
"25.13ct oval_ice_flower D/VVS1 冰花切 CVD",15766.94,8933.96481141706,15240.091635501514,6306.13,70.59,"S30","dense","high","null","highCarat;largeDelta"
"30.31ct oval_modified D/VVS1  CVD",30321.35,17752.451228102294,23666.22505195113,5913.77,33.31,"S28","medium","floor","s33a_weak_anchor_high_carat_n9","highCarat;weakAnchor;s28Fallback;largeDelta"
"20.51ct radiant_modified D/VVS1  CVD",10879.41,4592.128676470589,9711.044981232311,5118.92,111.47,"S28","medium","floor","s33a_weak_anchor_high_carat_n4","highCarat;weakAnchor;s28Fallback;largeDelta"
"10.09ct pear_ice_flower D/VVS1 冰花切 CVD",3502.06,7426.433362385883,3581.30076676975,-3845.13,-51.78,"S30","dense","high","null","highCarat;largeDelta"
"10.03ct pear_ice_flower D/VVS1 冰花切 CVD",4366.24,7382.272212559999,3566.782696309749,-3815.49,-51.68,"S30","dense","high","null","highCarat;largeDelta"
"25.85ct emerald_standard D/VVS1  CVD",9945.35,6349.92616983353,9828.131665871748,3478.21,54.78,"S30","dense","high","null","highCarat;largeDelta"
"20.23ct emerald_standard D/VVS1  CVD",8241.35,4969.400635038,7719.852422322308,2750.45,55.35,"S30","dense","high","null","highCarat;largeDelta"
"15.21ct round_standard E/VVS2 ID CVD",6876.88,5426.561030208883,7469.668349580253,2043.11,37.65,"S28","medium","floor","s33a_weak_anchor_high_carat_n3","highCarat;weakAnchor;s28Fallback;largeDelta"
"7.66ct cushion_elongated E/VVS2  CVD",2547,2575.9158191352944,1561.7433366447194,-1014.17,-39.37,"S28","medium","floor","s33a_weak_anchor_high_carat_n6","highCarat;weakAnchor;s28Fallback;largeDelta"
"8.29ct cushion_elongated E/VS1 - CVD",1379.29,1298.1281823588822,2305.460019052083,1007.33,77.6,"S30","medium","high","null","highCarat;sparse;largeDelta"
"6.08ct flower_modified D/VVS1  CVD",2547,2050.922416922353,2949.1573163609833,898.23,43.8,"S30","dense","high","null","highCarat;sparse;largeDelta"
"8.07ct round_standard E/VVS2 ID CVD",1818.35,1025.8441118276473,1858.256099607075,832.41,81.14,"S30","dense","high","null","highCarat;largeDelta"
"8.01ct round_standard E/VVS2 EX CVD",1818.35,1015.8966127032353,1819.999338634575,804.1,79.15,"S30","dense","high","null","highCarat;largeDelta"
"8.03ct round_standard E/VS1 EX CVD",1801.06,1027.1917167968825,1825.957482237281,798.77,77.76,"S30","dense","high","null","highCarat;largeDelta"
"8.01ct round_standard E/VS1 EX CVD",1801.06,1024.6333314499411,1815.1772447072813,790.54,77.15,"S30","dense","high","null","highCarat;largeDelta"
"15.69ct emerald_standard E/VVS1  CVD",4457.29,3445.7950275832945,4202.767857018902,756.97,21.97,"S28","sparse","floor","s33a_weak_anchor_high_carat_n1","highCarat;sparse;weakAnchor;s28Fallback;largeDelta"
"3.08ct flower_modified D/VVS2  CVD",1237.06,555.5684997124706,1254.3428128,698.77,125.78,"S30","dense","high","null","largeDelta"
"3.08ct flower_modified D/VVS2  CVD",1237.06,555.5684997124706,1254.3428128,698.77,125.78,"S30","dense","high","null","largeDelta"
"3.08ct flower_modified D/VVS2  CVD",1087.94,555.5684997124706,1254.3428128,698.77,125.78,"S30","dense","high","null","largeDelta"
"8.06ct round_standard F/VVS2 ID CVD",1710.18,993.6597393289412,1689.1544698730966,695.49,69.99,"S30","dense","high","null","highCarat;largeDelta"
"8.07ct cushion_elongated D/VVS1 长垫形 CVD",2728.94,2720.500829664353,2028.068548434702,-692.43,-25.45,"S28","medium","floor","s33a_weak_anchor_high_carat_n5","highCarat;weakAnchor;s28Fallback;largeDelta"
"3.09ct flower_modified D/VVS2  CVD",1237.06,557.3722935427058,1247.5694853,690.2,123.83,"S30","dense","high","null","largeDelta"
"3.09ct flower_modified D/VVS2  CVD",1237.06,557.3722935427058,1247.5694853,690.2,123.83,"S30","dense","high","null","largeDelta"
"3.02ct flower_modified D/VVS2  CVD",1237.06,544.7457367310589,1232.9754,688.23,126.34,"S30","dense","high","null","largeDelta"
"3.12ct flower_modified D/VVS2  CVD",1237.06,562.7836750334119,1245.3297948,682.55,121.28,"S30","dense","high","null","largeDelta"
"3.25ct flower_modified D/VVS2  CVD",1237.06,586.2329948264705,1258.22302734375,671.99,114.63,"S30","dense","high","null","largeDelta"
"7.07ct oval_standard D/VS1  CVD",1814.12,1163.14506679,1827.0294000000001,663.88,57.08,"S30","dense","medium","s30_bounded_extrapolation","highCarat;largeDelta"
"6.03ct pear_ice_flower D/VVS2 冰花切 CVD",1619.12,1698.7723893624707,2350.2077168255996,651.44,38.35,"S30","dense","high","null","highCarat;largeDelta"
"3.03ct flower_modified E/VVS2  CVD",1091.65,346.4041430553529,993.9303924415917,647.53,186.93,"S33A","medium","medium","null","largeDelta"
"3.02ct flower_modified E/VVS2  CVD",1091.65,345.2608950584706,990.5845986827884,645.32,186.91,"S33A","medium","medium","null","largeDelta"
"3.5ct flower_modified D/VVS2  CVD",1109.82,631.327840582353,1247.9794444444447,616.65,97.68,"S30","dense","high","null","largeDelta"
"3.06ct flower_modified D/VS1  CVD",1036.94,467.38609271999997,1080.8405425243948,613.45,131.25,"S33A","medium","medium","null","largeDelta"
"3.03ct flower_modified D/VS1  CVD",1091.65,462.8038761247058,1070.0332001165614,607.23,131.21,"S33A","medium","medium","null","largeDelta"
"9.01ct oval_standard E/VVS2  CVD",1711.76,1196.4356435779998,1714.61466754455,518.18,43.31,"S30","dense","high","null","highCarat;largeDelta"
"9.07ct oval_standard E/VVS2  CVD",1676.47,1204.4030285518825,1720.76752507455,516.36,42.87,"S30","dense","high","null","highCarat;largeDelta"
"6.52ct oval_standard D/VS1  CVD",1341.18,1072.6599484399999,1565.5262925312,492.87,45.95,"S30","dense","high","null","highCarat;largeDelta"
"7.27ct cushion_elongated E/VS1  CVD",1323.53,1138.4067413448824,1626.3587744471547,487.95,42.86,"S30","medium","high","null","highCarat;sparse;largeDelta"
"10.22ct oval_modified E/VVS2  CVD",2637.88,2092.7953903005887,2579.799285757367,487,23.27,"S28","medium","floor","s33a_weak_anchor_high_carat_n5","highCarat;weakAnchor;s28Fallback;largeDelta"
"6.16ct pear_standard D/VVS2 传统切 CVD",2001.18,1782.8823529440003,1303.3450643275532,-479.54,-26.9,"S28","medium","floor","s33a_weak_anchor_high_carat_n5","highCarat;weakAnchor;s28Fallback;largeDelta"
"2.24ct flower_modified D/VVS2  CVD",727.76,313.285338016,786.2545152000001,472.97,150.97,"S30","dense","high","null","largeDelta"
"2.05ct flower_modified D/VVS2  CVD",727.76,286.712028095,725.0414374999999,438.33,152.88,"S30","dense","high","null","largeDelta"
"2.06ct flower_modified D/VVS2  CVD",727.76,288.110623354,725.9645999999998,437.85,151.97,"S30","dense","high","null","largeDelta"
"2.06ct flower_modified D/VVS2  CVD",636.71,288.110623354,725.9645999999998,437.85,151.97,"S30","dense","high","null","largeDelta"
"2.25ct heart_standard D/VVS2 传统切 CVD",527.47,744.1528285985295,307.53000000000003,-436.62,-58.67,"S30","dense","high","null","largeDelta"
"2.09ct flower_modified D/VVS2  CVD",727.76,292.306409131,728.5818374999997,436.28,149.25,"S30","dense","high","null","largeDelta"
"2.09ct flower_modified D/VVS2  CVD",727.76,292.306409131,728.5818374999997,436.28,149.25,"S30","dense","high","null","largeDelta"
"2.09ct flower_modified D/VVS2  CVD",727.76,292.306409131,728.5818374999997,436.28,149.25,"S30","dense","high","null","largeDelta"
"2.03ct flower_modified D/VVS2  CVD",727.76,283.91483757699996,719.9217374999998,436.01,153.57,"S30","dense","high","null","largeDelta"
"2.03ct flower_modified D/VVS2  CVD",636.71,283.91483757699996,719.9217374999998,436.01,153.57,"S30","dense","high","null","largeDelta"
"10.46ct pear_standard E/VS1 - CVD",1891.06,1907.4710987482354,2342.735306165099,435.26,22.82,"S28","medium","floor","s33a_weak_anchor_high_carat_n4","highCarat;weakAnchor;s28Fallback;largeDelta"
"2.02ct heart_standard D/VVS2 传统切 CVD",527.47,668.0838727862354,241.3496,-426.73,-63.87,"S30","dense","high","null","largeDelta"
"10.03ct pear_standard E/VVS2 - CVD",1938.53,1925.094059389,2343.1604653000263,418.07,21.72,"S28","medium","floor","s33a_weak_anchor_high_carat_n5","highCarat;weakAnchor;s28Fallback;largeDelta"
"6.31ct oval_standard D/VVS2 传统切 CVD",1546.24,1579.8705611404705,1176.1075371088457,-403.76,-25.56,"S28","medium","floor","s33a_weak_anchor_high_carat_n6","highCarat;weakAnchor;s28Fallback;largeDelta"
"6.51ct oval_standard D/VVS2 传统切 CVD",1664.65,1629.9456977851764,1232.5976893888708,-397.35,-24.38,"S28","medium","floor","s33a_weak_anchor_high_carat_n6","highCarat;weakAnchor;s28Fallback;largeDelta"
"7.03ct oval_standard E/VVS2  CVD",1338.18,933.5119394398823,1328.2074350687,394.7,42.28,"S30","dense","high","null","highCarat;largeDelta"
"7.03ct oval_standard E/VVS2  CVD",1296.18,933.5119394398823,1328.2074350687,394.7,42.28,"S30","dense","high","null","highCarat;largeDelta"
"7.01ct oval_standard E/VVS2  CVD",1296.18,930.8561444485882,1325.2723623426998,394.42,42.37,"S30","dense","high","null","highCarat;largeDelta"
"10.06ct oval_modified F/VVS2  CVD",2365.06,1887.352941178,2270.561404278657,383.21,20.3,"S28","sparse","floor","s33a_weak_anchor_high_carat_n1","highCarat;sparse;weakAnchor;s28Fallback;largeDelta"
"3.08ct flower_modified D/VVS1  CVD",1346.29,977.3293903042353,1340.3201504000003,362.99,37.14,"S30","dense","medium","null","largeDelta"
"8.03ct oval_standard E/VVS2  CVD",1428.53,1066.3016890045883,1427.4484352127997,361.15,33.87,"S30","dense","high","null","highCarat;largeDelta"
"8.03ct oval_standard E/VVS2  CVD",1428.53,1066.3016890045883,1427.4484352127997,361.15,33.87,"S30","dense","high","null","highCarat;largeDelta"
"5.05ct heart_modified D/VVS2  CVD",1692,1240.4400000114706,1600.1567032186324,359.72,29,"S30","dense","high","null","highCarat;sparse;largeDelta"
"8.07ct oval_standard E/VVS2 - CVD",1471.89,1071.6132789871765,1430.1946121088001,358.58,33.46,"S30","dense","high","null","highCarat;largeDelta"
"8.08ct oval_standard E/VVS2  CVD",1473.71,1072.9411764828235,1431.2126184448002,358.27,33.39,"S30","dense","high","null","highCarat;largeDelta"
"8.08ct oval_standard E/VVS2  CVD",1429.41,1072.9411764828235,1431.2126184448002,358.27,33.39,"S30","dense","high","null","highCarat;largeDelta"
"8.09ct oval_standard E/VVS2  CVD",1471.76,1074.2690739784707,1432.3676003967998,358.1,33.33,"S30","dense","high","null","highCarat;largeDelta"
"8.09ct oval_standard E/VVS2  CVD",1471.76,1074.2690739784707,1432.3676003967998,358.1,33.33,"S30","dense","high","null","highCarat;largeDelta"
"8.1ct oval_standard E/VVS2  CVD",1471.24,1075.5969714741177,1433.6617679999997,358.06,33.29,"S30","dense","high","null","highCarat;largeDelta"
"10.2ct marquise_standard E/VS1  CVD",1630.59,1630.58823528,1982.650465554467,352.06,21.59,"S28","medium","floor","s33a_weak_anchor_high_carat_n4","highCarat;weakAnchor;s28Fallback;largeDelta"
"6.02ct asscher_standard D/VVS2  CVD",1637.29,1268.5125218327057,1617.6279045247998,349.12,27.52,"S30","dense","high","null","highCarat;largeDelta"
"6.07ct cushion_elongated E/VVS1 长垫形 CVD",1637.29,1642.7246122365882,1296.8671310255181,-345.86,-21.05,"S28","medium","floor","s33a_weak_anchor_high_carat_n4","highCarat;weakAnchor;s28Fallback;largeDelta"
"8.09ct square_cushion_modified G/VS2 - CVD",1471.76,1471.7647058654707,1135.215417010245,-336.55,-22.87,"S28","sparse","floor","s33a_weak_anchor_high_carat_n1","highCarat;sparse;weakAnchor;s28Fallback;largeDelta"
"5.35ct cushion_elongated E/VVS1 长垫形 CVD",1255.24,1447.8709514770587,1112.3078667470727,-335.56,-23.18,"S28","medium","floor","s33a_weak_anchor_high_carat_n4","highCarat;weakAnchor;s28Fallback;largeDelta"
"6.04ct pear_standard E/VVS2 传统切 CVD",1619.12,1575.6984010545882,1243.0924,-332.61,-21.11,"S30","dense","high","null","highCarat;largeDelta"
"2.05ct flower_modified D/VVS1  CVD",673.06,498.41147349647053,829.4530625,331.04,66.42,"S30","dense","high","null","largeDelta"
