level,key_fields,carat_bucket,Shape,Color,Clarity,TypeName,Report,Cut,Polish,Symmetry,count,median_internal_rate_per_ct,median_usd_per_ct
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VS1,CVD,IGI,EX,EX,EX,10,22125.0,130.1471
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VS1,CVD,IGI,ID,EX,EX,43,22125.0,130.1471
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VS1,HPHT,IGI,EX,EX,EX,13,26526.315789,156.0372
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VS1,HPHT,IGI,ID,EX,EX,76,26191.860465,154.0698
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VS2,HPHT,IGI,EX,EX,EX,3,20454.545455,120.3209
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VS2,HPHT,IGI,ID,EX,EX,44,20545.454545,120.8556
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VVS1,HPHT,IGI,EX,EX,EX,35,36081.081081,212.2417
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VVS1,HPHT,IGI,ID,EX,EX,63,35131.578947,206.6563
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VVS2,CVD,IGI,EX,EX,EX,57,22875.0,134.5588
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VVS2,CVD,IGI,ID,EX,EX,180,22875.0,134.5588
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VVS2,HPHT,IGI,EX,EX,EX,69,28451.612903,167.3624
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,D,VVS2,HPHT,IGI,ID,EX,EX,150,28350.0,166.7647
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,E,VS1,CVD,IGI,ID,EX,EX,1,24996.774194,147.0398
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,E,VS1,HPHT,IGI,ID,EX,EX,15,22791.176471,134.0657
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,E,VS2,CVD,IGI,ID,EX,EX,2,23329.782446,137.234
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,E,VS2,HPHT,IGI,ID,EX,EX,1,22792.857143,134.0756
A,carat_bucket+Shape+Color+Clarity+TypeName+Report+Cut+Polish+Symmetry,0.30-0.49,ROUND,E,VVS2,CVD,IGI,ID,EX,EX,3,27793.548387,163.4915
