group_type,group_value,count,mape,mae,rmse,r2,bias_pred_minus_actual
carat_bucket,1.00-1.49,1684,4.6491,6.9468,15.1371,0.677729,-2.1564
carat_bucket,2.00-2.99,979,5.7108,20.3927,44.6102,0.764473,-8.1984
carat_bucket,0.50-0.69,829,7.3745,5.8111,10.5076,0.789515,-1.7537
carat_bucket,3.00-3.99,671,5.0308,26.4239,59.1854,0.90861,-11.9389
carat_bucket,1.50-1.99,563,6.6617,15.1744,32.5492,0.703618,-3.7073
carat_bucket,5.00-9.99,405,9.6542,116.3981,190.0485,0.858584,-48.454
carat_bucket,0.30-0.49,194,6.881,3.9842,6.3531,0.738483,0.9924
carat_bucket,0.70-0.89,144,4.3109,4.7993,7.8391,0.92153,1.3281
carat_bucket,4.00-4.99,113,3.9272,29.8339,72.968,0.736262,-10.3016
carat_bucket,10.00+,96,16.7374,1684.9454,3482.5259,0.627633,-1135.2961
carat_bucket,0.90-0.99,1,0.0168,0.0235,0.0235,,-0.0235
Shape,ROUND,3095,5.8893,14.8738,96.4608,0.937339,-7.6905
Shape,OVAL,741,4.1789,42.1165,261.2393,0.915982,-23.0468
Shape,PEAR,464,5.0657,128.5699,842.2032,0.800637,-48.0207
Shape,EMERALD,308,7.4297,207.3935,1376.3591,0.659426,-180.0833
Shape,PRINCESS,236,17.2497,58.3472,89.3661,0.897129,-10.8848
Shape,MARQUISE,213,5.4823,69.9307,576.0512,0.791109,-42.6741
Shape,HEART,160,5.4416,113.6735,534.7089,0.923634,-101.8842
Shape,RADIANT,157,4.1665,18.6373,54.5054,0.974381,-6.3229
Shape,CUSHION,137,4.3291,29.7226,95.9586,0.950456,-20.3515
Shape,SQUARE,82,10.5519,234.662,940.6254,0.887584,-46.5278
Shape,-,49,6.0409,48.33,85.6302,0.95942,30.3161
Shape,ASSCHER,37,2.5762,6.6808,10.797,0.998564,2.5717
Color,D,3419,6.4336,59.9042,584.0048,0.802482,-36.9198
Color,E,1935,5.5584,30.4928,90.4919,0.952507,-11.0331
Color,F,311,5.7273,39.7308,96.8803,0.968996,-15.1777
Color,G,14,3.0461,22.3555,60.7623,0.98043,-21.7311
Clarity,VVS2,2782,6.4221,33.6396,245.1503,0.895787,-19.8591
Clarity,VS1,2139,5.2802,17.7676,54.6891,0.971327,-5.1164
Clarity,VVS1,468,8.9838,301.0051,1469.1204,0.761071,-186.4219
Clarity,VS2,271,4.2261,14.0416,66.5282,0.897053,3.7168
Clarity,IF,13,1.2955,3.1204,3.874,0.998573,-0.5756
Clarity,VVS,4,5.6806,6.0147,6.685,,-5.0529
Clarity,SI1,1,21.0752,149.5471,149.5471,,-149.5471
Clarity,VS,1,4.9483,5.0647,5.0647,,5.0647
TypeName,CVD,3370,6.0279,76.8565,592.8176,0.805718,-44.3049
TypeName,HPHT,2304,6.178,7.5735,15.8294,0.981785,-1.4234
TypeName,-,5,5.5341,5.8247,6.3939,-19.511635,-3.0294
